Href;Water Resistance;Case Width;Name;Features;Price;Movement
https://www.ashford.com/calvin-klein-k8a23146.html;30 m (100 feet);33 mm;Whirl Women's  Watch;-;$44.99;Quartz
https://www.ashford.com/calvin-klein-k8a23646.html;30 m (100 feet);33 mm;Whirl Women's  Watch;-;$54.99;Quartz
https://www.ashford.com/rado-r14064177.html;50 m (165 feet);33 mm;Diamaster Women's  Watch;Date;$899.00;Quartz
https://www.ashford.com/gv2-by-gevril-9260.html;50 m (165 feet);34 mm;Bari Enamel Women's  Watch;-;$250.00;Quartz
https://www.ashford.com/calvin-klein-k3m52t56.html;30 m (100 feet);35 mm;Minimal Women's  Watch;-;$49.99;Quartz
https://www.ashford.com/christian-van-sant-cv0282.html;30 m (100 feet);32 mm;Grace Women's  Watch;-;$55.99;Quartz
https://www.ashford.com/christian-van-sant-cv0283.html;30 m (100 feet);32 mm;Grace Women's  Watch;-;$55.99;Quartz
https://www.ashford.com/christian-van-sant-cv0285.html;30 m (100 feet);32 mm;Grace Women's  Watch;Date;$55.99;Quartz
https://www.ashford.com/christian-van-sant-cv0286.html;30 m (100 feet);32 mm;Grace Women's  Watch;Date;$55.99;Quartz
https://www.ashford.com/calvin-klein-k4e2n11n.html;30 m (100 feet);30 mm;Seduce Women's  Watch;-;$44.99;Quartz
https://www.ashford.com/calvin-klein-k7b231vn.html;30 m (100 feet);36 mm;Even Women's  Watch;-;$44.99;Quartz
https://www.ashford.com/calvin-klein-k7b231vn.html;30 m (100 feet);36 mm;Even Women's  Watch;-;$44.99;Quartz
https://www.ashford.com/tissot-t0502071111705.html;30 m (100 feet);35 mm;Heart Flower Women's  Watch;-;$309.99;Automatic
https://www.ashford.com/rado-r27957102.html;30 m (100 feet);39 mm;True Thinline Women's  Watch;-;$659.00;Quartz
https://www.ashford.com/mido-m0102081105300.html;50 m (165 feet);33 mm;Baroncelli III Women's  Watch;Date;$479.00;Automatic
https://www.ashford.com/mido-m0242071603600.html;50 m (165 feet);33 mm;Belluna Women's  Watch;-;$429.00;Automatic
https://www.ashford.com/breguet-8860bb11bb0.html;30 m (100 feet);25 mm;Heritage Women's  Watch;Moonphase;$23,500.00;Automatic
https://www.ashford.com/glycine-gl0347.html;50 m (165 feet);36 mm;Combat 6 Lady Classic Women's  Watch;Date;$399.00;Automatic
